Timestamp,Bld_64_DDC_1.1_S.Air_Temp(°C)
15/12/2017 16:30,20.2
15/12/2017 16:45,20.4
15/12/2017 17:00,19.9
15/12/2017 17:15,20.3
15/12/2017 17:30,20.1
15/12/2017 17:45,20.1
15/12/2017 18:00,20
15/12/2017 18:15,20
15/12/2017 18:30,20.1
15/12/2017 18:45,20.2
15/12/2017 19:00,19.8
15/12/2017 19:15,19.9
15/12/2017 19:30,20
15/12/2017 19:45,20.2
15/12/2017 20:00,20
15/12/2017 20:15,20.5
15/12/2017 20:30,20.6
15/12/2017 20:45,20.6
15/12/2017 21:00,20.4
15/12/2017 21:15,22.8
15/12/2017 21:30,21.1
15/12/2017 21:45,20.9
15/12/2017 22:00,21.6
15/12/2017 22:15,21.1
15/12/2017 22:30,21.1
15/12/2017 22:45,20.9
15/12/2017 23:00,20.7
15/12/2017 23:15,21.2
15/12/2017 23:30,20.5
15/12/2017 23:45,20.5
16/12/2017 0:00,20.8
16/12/2017 0:15,20.9
16/12/2017 0:30,21
16/12/2017 0:45,21
16/12/2017 1:00,21
16/12/2017 1:15,21
16/12/2017 1:30,20.9
16/12/2017 1:45,20.9
16/12/2017 2:00,20.8
16/12/2017 2:15,20.7
16/12/2017 2:30,20.6
16/12/2017 2:45,20.5
16/12/2017 3:00,20.4
16/12/2017 3:15,20.3
16/12/2017 3:30,20.2
16/12/2017 3:45,20.2
16/12/2017 4:00,20.1
16/12/2017 4:15,20
16/12/2017 4:30,19.9
16/12/2017 4:45,19.8
16/12/2017 5:00,19.7
16/12/2017 5:15,19.7
16/12/2017 5:30,19.6
16/12/2017 5:45,19.5
16/12/2017 6:00,19.5
16/12/2017 6:15,19.4
16/12/2017 18:15,23
16/12/2017 18:30,23.5
16/12/2017 18:45,23.8
16/12/2017 19:00,24
16/12/2017 19:15,24.3
16/12/2017 19:30,24.1
16/12/2017 19:45,23.9
16/12/2017 20:00,23.7
16/12/2017 20:15,23.5
16/12/2017 20:30,23.5
16/12/2017 20:45,23.1
16/12/2017 21:00,23
16/12/2017 21:15,22.7
16/12/2017 21:30,22.4
16/12/2017 21:45,22.2
16/12/2017 22:00,22
16/12/2017 22:15,21.7
16/12/2017 22:30,21.6
16/12/2017 22:45,21.4
16/12/2017 23:00,21.3
16/12/2017 23:15,21.1
16/12/2017 23:30,20.9
16/12/2017 23:45,20.9
17/12/2017 0:00,20.8
17/12/2017 0:15,20.7
17/12/2017 0:30,20.5
17/12/2017 0:45,20.4
17/12/2017 1:00,20.3
17/12/2017 1:15,20.2
17/12/2017 1:30,20.2
17/12/2017 1:45,20.1
17/12/2017 2:00,20
17/12/2017 2:15,19.9
17/12/2017 2:30,19.8
17/12/2017 2:45,19.7
17/12/2017 3:00,19.6
17/12/2017 3:15,19.6
17/12/2017 3:30,19.5
17/12/2017 3:45,19.5
17/12/2017 4:00,19.5
17/12/2017 4:15,19.5
17/12/2017 4:30,19.4
17/12/2017 4:45,19.4
17/12/2017 5:00,19.3
17/12/2017 5:15,19.3
17/12/2017 5:30,19.2
17/12/2017 5:45,19.1
17/12/2017 6:00,19
17/12/2017 6:15,19
17/12/2017 6:30,18.9
17/12/2017 6:45,18.8
17/12/2017 7:00,18.8
17/12/2017 7:15,18.8
17/12/2017 7:30,18.8
17/12/2017 7:45,18.8
17/12/2017 8:00,18.7
17/12/2017 8:15,18.8
17/12/2017 8:30,18.8
17/12/2017 8:45,18.9
17/12/2017 9:00,19
17/12/2017 9:15,19.1
17/12/2017 9:30,19.4
17/12/2017 9:45,19.6
17/12/2017 10:00,19.9
17/12/2017 10:15,20.1
17/12/2017 10:30,20.2
17/12/2017 10:45,20.4
17/12/2017 11:00,20.7
17/12/2017 11:15,20.9
17/12/2017 11:30,21.1
17/12/2017 11:45,21.4
17/12/2017 12:00,21.6
17/12/2017 12:15,22
17/12/2017 12:30,22.3
17/12/2017 12:45,22.6
17/12/2017 13:00,22.9
17/12/2017 13:15,23.1
17/12/2017 13:30,23.6
17/12/2017 13:45,23.8
17/12/2017 14:00,23.9
17/12/2017 14:15,23.8
17/12/2017 14:30,23.8
17/12/2017 14:45,24.1
17/12/2017 15:00,24.7
17/12/2017 15:15,24.5
17/12/2017 15:30,24
17/12/2017 15:45,24.1
17/12/2017 16:00,24.6
17/12/2017 16:15,24.8
17/12/2017 16:30,24.6
17/12/2017 16:45,24.4
17/12/2017 17:00,24.4
17/12/2017 17:15,24.4
17/12/2017 17:30,24.6
17/12/2017 17:45,24.8
17/12/2017 18:00,25.2
17/12/2017 18:15,24.9
17/12/2017 18:30,24.4
17/12/2017 18:45,24.5
17/12/2017 19:00,24.3
17/12/2017 19:15,24.5
17/12/2017 19:30,24.5
17/12/2017 19:45,24.4
17/12/2017 20:00,24.6
17/12/2017 20:15,24.5
17/12/2017 20:30,24.3
17/12/2017 20:45,24.1
17/12/2017 21:00,24
17/12/2017 21:15,23.8
17/12/2017 21:30,23.8
17/12/2017 21:45,23.8
17/12/2017 22:00,23.7
17/12/2017 22:15,23.6
17/12/2017 22:30,23.6
17/12/2017 22:45,23.4
17/12/2017 23:00,23.5
17/12/2017 23:15,23.4
17/12/2017 23:30,23.4
