Timestamp,Bld_64_DDC_1.1_S.Air_Temp(°C)
10/08/2017 15:30,21
10/08/2017 15:45,22.9
10/08/2017 16:00,21.8
10/08/2017 16:15,22.9
10/08/2017 16:30,23
10/08/2017 16:45,20.9
10/08/2017 17:00,21.1
10/08/2017 17:15,21.2
10/08/2017 17:30,23
10/08/2017 17:45,22
10/08/2017 18:00,21.5
10/08/2017 18:15,22.2
10/08/2017 18:30,22.7
10/08/2017 18:45,22.7
10/08/2017 19:00,21.5
10/08/2017 19:15,20.7
10/08/2017 19:30,20.6
10/08/2017 19:45,21.1
10/08/2017 20:00,19.2
10/08/2017 20:15,25
10/08/2017 20:30,24.1
10/08/2017 20:45,23.8
10/08/2017 21:00,22.3
10/08/2017 21:15,23.3
10/08/2017 21:30,21.7
10/08/2017 21:45,21.7
10/08/2017 22:00,24.9
10/08/2017 22:15,23.1
10/08/2017 22:30,21.7
10/08/2017 22:45,24.2
10/08/2017 23:00,21.5
10/08/2017 23:15,25.4
10/08/2017 23:30,22.3
10/08/2017 23:45,23.5
11/08/2017 0:00,22.3
11/08/2017 0:15,21
11/08/2017 0:30,20.2
11/08/2017 0:45,19.6
11/08/2017 1:00,19.1
11/08/2017 1:15,18.7
11/08/2017 1:30,18.3
11/08/2017 1:45,18
11/08/2017 2:00,17.7
11/08/2017 2:15,17.4
11/08/2017 2:30,17.1
11/08/2017 2:45,16.8
11/08/2017 3:00,16.6
11/08/2017 3:15,16.1
11/08/2017 3:30,15.9
11/08/2017 3:45,15.6
11/08/2017 4:00,15.3
11/08/2017 4:15,15.4
11/08/2017 4:30,15.5
11/08/2017 4:45,15
11/08/2017 5:00,14.8
11/08/2017 5:15,14.6
11/08/2017 5:30,14.4
11/08/2017 5:45,14.1
11/08/2017 6:00,13.8
11/08/2017 6:15,13.7
11/08/2017 6:30,13.7
11/08/2017 6:45,13.7
11/08/2017 7:00,13.9
11/08/2017 7:15,14
11/08/2017 7:30,14.2
11/08/2017 7:45,14.2
11/08/2017 8:00,14.2
11/08/2017 8:15,20
11/08/2017 8:30,23.3
11/08/2017 8:45,23.8
11/08/2017 9:00,23.8
11/08/2017 9:15,23.9
11/08/2017 9:30,22.9
11/08/2017 9:45,22.3
11/08/2017 10:00,24.1
11/08/2017 10:15,24.8
11/08/2017 10:30,23.1
11/08/2017 10:45,21.1
11/08/2017 11:00,23
11/08/2017 11:15,24.6
11/08/2017 11:30,20.5
11/08/2017 11:45,20.9
11/08/2017 12:00,24.7
11/08/2017 12:15,24.6
11/08/2017 12:30,24.3
11/08/2017 12:45,22.3
11/08/2017 13:00,21
11/08/2017 13:15,20.9
11/08/2017 13:30,20.8
11/08/2017 13:45,21
11/08/2017 14:00,23.9
11/08/2017 14:15,23
11/08/2017 14:30,20.2
11/08/2017 14:45,20.4
11/08/2017 15:00,23.9
11/08/2017 15:15,24
11/08/2017 15:30,24.1
11/08/2017 15:45,22.9
11/08/2017 16:00,20.7
11/08/2017 16:15,21.4
11/08/2017 16:30,23.4
11/08/2017 16:45,20.9
11/08/2017 17:00,21.6
11/08/2017 17:15,24.2
11/08/2017 17:30,21.8
11/08/2017 17:45,21.6
11/08/2017 18:00,23.1
11/08/2017 18:15,24.9
11/08/2017 18:30,21.3
11/08/2017 18:45,22.9
11/08/2017 19:00,24.5
11/08/2017 19:15,24.2
11/08/2017 19:30,23.1
11/08/2017 19:45,22
11/08/2017 20:00,21.9
11/08/2017 20:15,22.2
11/08/2017 20:30,24.6
11/08/2017 20:45,21
11/08/2017 21:00,24
11/08/2017 21:15,24.8
11/08/2017 21:30,21.6
11/08/2017 21:45,23.1
11/08/2017 22:00,23.6
11/08/2017 22:15,21.5
11/08/2017 22:30,24.8
11/08/2017 22:45,24.8
11/08/2017 23:00,22.2
11/08/2017 23:15,21.6
11/08/2017 23:30,24.8
11/08/2017 23:45,22.7
12/08/2017 0:00,20.9
12/08/2017 0:15,19.5
12/08/2017 0:30,18.8
12/08/2017 0:45,18.1
12/08/2017 1:00,17.6
12/08/2017 1:15,17.2
12/08/2017 1:30,16.9
12/08/2017 1:45,16.5
12/08/2017 2:00,16
12/08/2017 2:15,15.7
12/08/2017 2:30,15.4
12/08/2017 2:45,15.2
12/08/2017 3:00,14.9
12/08/2017 3:15,14.6
12/08/2017 3:30,14.5
12/08/2017 3:45,14.3
12/08/2017 4:00,14.1
12/08/2017 4:15,13.9
12/08/2017 4:30,13.7
12/08/2017 4:45,13.7
12/08/2017 5:00,13.6
12/08/2017 5:15,13.5
12/08/2017 5:30,13.4
12/08/2017 5:45,13.3
12/08/2017 6:00,13.2
12/08/2017 6:15,13
12/08/2017 6:30,13
12/08/2017 6:45,13
12/08/2017 7:00,12.9
12/08/2017 7:15,12.9
12/08/2017 7:30,12.9
12/08/2017 7:45,12.8
12/08/2017 8:00,12.7
12/08/2017 8:15,22
12/08/2017 8:30,23.6
12/08/2017 8:45,24.3
12/08/2017 9:00,24.6
12/08/2017 9:15,24.6
12/08/2017 9:30,24.6
12/08/2017 9:45,25
12/08/2017 10:00,21.9
12/08/2017 10:15,24
12/08/2017 10:30,25
12/08/2017 10:45,23.8
12/08/2017 11:00,24.3
12/08/2017 11:15,25.4
12/08/2017 11:30,23.8
12/08/2017 11:45,22.6
12/08/2017 12:00,22.7
12/08/2017 12:15,24.1
12/08/2017 12:30,21.5
12/08/2017 12:45,24.4
12/08/2017 13:00,24.5
12/08/2017 13:15,21.6
12/08/2017 13:30,24.3
12/08/2017 13:45,21.6
12/08/2017 14:00,21.5
12/08/2017 14:15,24.2
12/08/2017 14:30,21.7
12/08/2017 14:45,23.8
12/08/2017 15:00,23.8
12/08/2017 15:15,21.3
12/08/2017 15:30,21.9
12/08/2017 15:45,24.1
12/08/2017 16:00,21.5
12/08/2017 16:15,23.6
12/08/2017 16:30,22.7
