"","start_temp","outside_temp","SA_temp","rate"
"1894",12.7,9.1,15.4,-0.0133333333333333
"1895",12.5,9,14.8,-0.00666666666666664
"1896",12.4,8.9,14.3,-0.0133333333333334
"1897",12.2,8.9,13.7,-0.00666666666666664
"1898",12.1,8.9,13.3,-0.0133333333333333
"1899",11.9,8.8,12.9,-0.00666666666666664
"1901",11.8,8.6,12.1,-0.0133333333333334
"1904",11.6,8.6,11.5,-0.0133333333333333
"1905",11.4,8.4,11.3,-0.00666666666666664
"1908",11.3,8.2,10.8,-0.00666666666666676
"1909",11.2,7.9,10.7,-0.0133333333333333
"1910",11,7.8,10.5,-0.00666666666666664
"1912",10.9,7.6,10.4,-0.00666666666666664
"1913",21.1,18,21.4,-0.0866666666666667
"1914",19.8,17.9,21.4,-0.0600000000000001
"1915",18.9,17.9,21.5,-0.0333333333333333
"1916",18.4,18.1,21.1,-0.0333333333333333
"1917",17.9,18,20.8,-0.0133333333333333
"1918",17.7,18.1,20.4,-0.0133333333333333
"1919",17.5,18.1,20.1,-0.00666666666666676
"1920",17.4,18.1,19.8,-0.0133333333333333
"1921",17.2,17.9,19.6,-0.00666666666666652
"1922",17.1,17.2,19.4,-0.00666666666666676
"1923",17,16,19.2,-0.00666666666666676
"1924",16.9,15.7,18.9,-0.0133333333333333
"1925",16.7,15.6,18.8,-0.0133333333333333
"1926",16.5,15.7,18.5,-0.0133333333333333
"1929",16.3,15.7,17.8,-0.00666666666666676
"1930",16.2,15.5,17.6,-0.00666666666666652
"1932",16.1,16.1,17.2,-0.00666666666666676
"1935",16,15.8,16.9,-0.00666666666666664
"1937",15.9,14.1,16.7,-0.00666666666666664
"1938",15.8,14,16.5,-0.0133333333333334
"1940",15.6,13.7,16.1,-0.00666666666666664
"1941",15.5,13.7,16,-0.00666666666666664
"1943",15.4,13.4,15.6,-0.00666666666666664
"1944",15.3,13.5,15.4,-0.00666666666666676
"1945",15.2,13.2,15.5,-0.00666666666666664
"1946",15.1,13.1,15.2,-0.00666666666666664
"1950",15,13.6,14.7,-0.00666666666666664
"1952",14.9,13.4,14.5,-0.00666666666666664
"1955",14.8,13.6,14.5,-0.00666666666666676
"1958",14.7,14,14.5,-0.00666666666666664
"1959",21.2,15.1,22.3,-0.106666666666667
"1960",19.6,15,21.7,-0.0800000000000002
"1961",18.4,15,21.4,-0.0399999999999999
"1962",17.8,15,20.9,-0.0266666666666668
"1963",17.4,15.2,20.3,-0.0199999999999998
"1964",17.1,15,19.9,-0.00666666666666676
"1965",17,15.3,19.5,-0.00666666666666676
"1966",16.9,15.2,19.3,-0.0133333333333333
"1967",16.7,15.3,19,-0.00666666666666652
"1968",16.6,15.1,18.8,-0.00666666666666676
"1969",16.5,14.9,18.6,-0.00666666666666676
"1970",16.4,15.3,18.3,-0.00666666666666652
"1971",16.3,15.3,18.1,-0.00666666666666676
"1972",16.2,15.1,17.9,-0.00666666666666652
"1973",16.1,14.7,17.7,-0.00666666666666676
"1975",16,15.6,17.4,-0.00666666666666664
"1982",15.9,15.2,16.4,-0.00666666666666664
"1984",15.8,15.4,16.2,-0.00666666666666676
"1987",15.7,15.3,16,-0.00666666666666664
"1992",15.6,15.3,15.7,-0.00666666666666664
"1994",15.5,15.2,15.6,-0.00666666666666664
"1997",15.4,14.3,15.4,-0.00666666666666664
"1999",15.3,14.1,15.2,-0.00666666666666676
"2000",20.9,10.2,25.4,-0.2
"2001",17.9,10.1,23.4,-0.133333333333333
"2002",15.9,9.9,20.1,-0.0733333333333333
"2003",14.8,10.1,18.3,-0.0466666666666667
"2004",14.1,9.8,17.1,-0.0266666666666667
"2005",13.7,9.7,16.3,-0.0266666666666666
"2006",13.3,9.3,15.8,-0.00666666666666676
"2007",13.2,9.3,15.3,-0.0199999999999999
"2008",12.9,9.3,14.8,-0.0133333333333334
"2009",12.7,9.2,14.2,-0.00666666666666664
"2010",12.6,9.1,13.7,-0.00666666666666664
"2011",12.5,9.1,13.3,-0.00666666666666664
"2012",12.4,8.8,12.9,-0.0133333333333334
"2013",12.2,8.6,12.5,-0.0133333333333333
"2014",12,8.5,12,-0.00666666666666664
"2015",11.9,8.5,11.8,-0.00666666666666664
"2016",11.8,8.5,11.6,-0.00666666666666676
