"","start_temp","outside_temp","SA_temp","rate"
"401",18.7,19.4,19.5,0.16
"403",13.4,12,12.5,0.233333333333333
"404",16.9,12,20.1,0.186666666666667
"405",19.7,11.8,23.4,0.0533333333333334
"407",12.9,9.9,12.9,0.313333333333333
"408",17.6,10.2,22.2,0.133333333333333
"409",19.6,10.1,23.6,0.0466666666666666
"411",16,15,16.5,0.173333333333333
"412",18.6,14.8,21.6,0.126666666666667
"414",13.4,10.9,13.5,0.246666666666667
"415",17.1,11.3,20.1,0.18
"416",19.8,11.4,22.8,0.0466666666666666
"418",15.6,15.5,15.2,0.206666666666667
"419",18.7,15.9,23.5,0.12
"421",14.1,11.6,14.3,0.313333333333333
"422",18.8,11.8,22.9,0.1
"424",15.7,13.9,15.8,0.18
"425",18.4,13.8,21.6,0.14
"427",14.2,11.7,14,0.22
"428",17.5,11.8,20.9,0.18
"429",20.2,12.4,24.1,0.0333333333333333
"431",14.3,12.3,13.7,0.24
"432",17.9,12.5,22.2,0.14
"433",20,12.4,23.8,0.0333333333333333
"435",18.1,20.8,18.6,0.193333333333333
"437",19.2,19.9,20.3,0.133333333333333
"439",21.3,19.7,22.1,0.0399999999999999
"441",16.5,14.4,16.2,0.226666666666667
"442",19.9,14.2,23.6,0.0600000000000001
"444",15.1,12.3,14.9,0.22
"445",18.4,12,21.6,0.146666666666667
"447",14.4,13.2,13.6,0.24
"448",18,13.3,22.8,0.126666666666667
"449",19.9,13.5,23.8,0.0400000000000001
"451",15.7,15.8,15.4,0.206666666666667
"452",18.8,15.7,23.8,0.113333333333333
"454",16.1,14.4,15.9,0.113333333333333
"455",17.8,14.5,21.3,0.186666666666667
"456",20.6,14.3,23.9,0.0333333333333333
"458",15.7,14.7,15.1,0.133333333333333
"459",17.7,14.6,18.8,0.166666666666667
"460",20.2,14.2,24.4,0.0533333333333334
"462",15.4,14.3,15.1,0.246666666666667
"463",19.1,14.5,23.3,0.0933333333333332
"465",18,16.6,19.3,0.2
"467",13.2,10.7,12.4,0.266666666666667
"468",17.2,11.4,20.2,0.186666666666667
"469",20,11.5,23.6,0.0733333333333334
"471",12.6,10.4,12.3,0.313333333333333
"472",17.3,10.8,21.7,0.153333333333333
"473",19.6,11.5,23.4,0.0599999999999999
"475",15.1,14.1,14.5,0.22
"476",18.4,14,23.1,0.14
"478",15.3,12.4,15.2,0.16
"479",17.7,12.6,21.2,0.186666666666667
"481",13.8,11.2,13.7,0.226666666666667
"482",17.2,11.7,20.1,0.173333333333333
"483",19.8,11.5,23.2,0.0533333333333334
"485",13.1,10.1,12.9,0.313333333333333
"486",17.8,10.8,22.3,0.146666666666667
"487",20,12.2,23.9,0.0333333333333333
"489",14.1,13.9,13.2,0.153333333333333
"490",16.4,14.1,20.2,0.193333333333333
"491",19.3,14.3,23.4,0.0666666666666667
"493",14.2,12.9,13.5,0.14
"494",16.3,13.3,18.1,0.153333333333333
"495",18.6,13.5,23.4,0.1
"496",20.1,13.8,24.3,0.0466666666666666
"498",14.3,12.9,13.7,0.22
"499",17.6,13,22.3,0.146666666666667
"500",19.8,12.9,23.8,0.0466666666666666
