Timestamp,Bld_64_DDC_1.1_Rm_Temp(°C)
31/01/2018 16:30,19.9
31/01/2018 16:45,20.8
31/01/2018 17:00,21
31/01/2018 17:15,21.7
31/01/2018 17:30,21.4
31/01/2018 17:45,21.2
31/01/2018 18:00,21.1
31/01/2018 18:15,21
31/01/2018 18:30,21.1
31/01/2018 18:45,21.2
31/01/2018 19:00,21.1
31/01/2018 19:15,20.9
31/01/2018 19:30,20.8
31/01/2018 19:45,20.8
31/01/2018 20:00,20.9
31/01/2018 20:15,20.8
31/01/2018 20:30,20.7
31/01/2018 20:45,20.6
31/01/2018 21:00,20.5
31/01/2018 21:15,20.5
31/01/2018 21:30,20.4
31/01/2018 21:45,20.3
31/01/2018 22:00,20.2
31/01/2018 22:15,20
31/01/2018 22:30,20
31/01/2018 22:45,19.8
31/01/2018 23:00,19.8
31/01/2018 23:15,19.7
31/01/2018 23:30,19.6
31/01/2018 23:45,19.4
1/02/2018 0:00,19.2
1/02/2018 0:15,19.1
1/02/2018 0:30,18.9
1/02/2018 0:45,18.7
1/02/2018 1:00,18.5
1/02/2018 1:15,18.4
1/02/2018 1:30,18.1
1/02/2018 1:45,17.7
1/02/2018 2:00,17.5
1/02/2018 2:15,17.5
1/02/2018 2:30,17.3
1/02/2018 2:45,17.2
1/02/2018 3:00,17
1/02/2018 3:15,17
1/02/2018 3:30,16.9
1/02/2018 3:45,16.7
1/02/2018 4:00,16.7
1/02/2018 4:15,16.8
1/02/2018 4:30,16.9
1/02/2018 4:45,17
1/02/2018 5:00,17.1
1/02/2018 5:15,17.4
1/02/2018 5:30,17.4
1/02/2018 5:45,17.3
1/02/2018 6:00,17.3
1/02/2018 6:15,17.1
1/02/2018 6:30,17
1/02/2018 6:45,16.9
1/02/2018 7:00,16.8
1/02/2018 7:15,16.7
1/02/2018 7:30,16.9
1/02/2018 7:45,17.1
1/02/2018 8:00,17.3
1/02/2018 8:15,19.6
1/02/2018 8:30,21.1
1/02/2018 8:45,21.1
1/02/2018 9:00,21.1
1/02/2018 9:15,20.9
1/02/2018 9:30,21
1/02/2018 9:45,21
1/02/2018 10:00,21
1/02/2018 10:15,21.1
1/02/2018 10:30,21.1
1/02/2018 10:45,21.2
1/02/2018 11:00,21.4
1/02/2018 11:15,21.6
1/02/2018 11:30,21.6
1/02/2018 11:45,21.4
1/02/2018 12:00,21.3
1/02/2018 12:15,21.2
1/02/2018 12:30,21
1/02/2018 12:45,21.1
1/02/2018 13:00,21.2
1/02/2018 13:15,21.1
1/02/2018 13:30,21.2
1/02/2018 13:45,21.1
1/02/2018 14:00,21
1/02/2018 14:15,21
1/02/2018 14:30,21
1/02/2018 14:45,21.1
1/02/2018 15:00,21.1
1/02/2018 15:15,21.1
1/02/2018 15:30,21.1
1/02/2018 15:45,21.1
1/02/2018 16:00,21.1
1/02/2018 16:15,21
1/02/2018 16:30,20.9
1/02/2018 16:45,21
1/02/2018 17:00,21.1
1/02/2018 17:15,21
1/02/2018 17:30,21
1/02/2018 17:45,21
1/02/2018 18:00,21
1/02/2018 18:15,20.9
1/02/2018 18:30,21
1/02/2018 18:45,21
1/02/2018 19:00,20.9
1/02/2018 19:15,21.6
1/02/2018 19:30,22
1/02/2018 19:45,21.8
1/02/2018 20:00,21.5
1/02/2018 20:15,21.2
1/02/2018 20:30,21.1
1/02/2018 20:45,21.2
1/02/2018 21:00,21.1
1/02/2018 21:15,21
1/02/2018 21:30,21
1/02/2018 21:45,21.2
1/02/2018 22:00,21.2
1/02/2018 22:15,21
1/02/2018 22:30,20.8
1/02/2018 22:45,21
1/02/2018 23:00,21
1/02/2018 23:15,21
1/02/2018 23:30,21
1/02/2018 23:45,21
2/02/2018 0:00,20.8
2/02/2018 0:15,20.7
2/02/2018 0:30,20.6
2/02/2018 0:45,20.4
2/02/2018 1:00,20.1
2/02/2018 1:15,20.1
2/02/2018 1:30,20
2/02/2018 1:45,19.9
2/02/2018 2:00,19.8
2/02/2018 2:15,19.8
2/02/2018 2:30,19.7
2/02/2018 2:45,19.6
2/02/2018 3:00,19.5
2/02/2018 3:15,19.3
2/02/2018 3:30,19.1
2/02/2018 3:45,19
2/02/2018 4:00,18.8
2/02/2018 4:15,19.1
2/02/2018 4:30,18.8
2/02/2018 4:45,18.5
2/02/2018 5:00,18.4
2/02/2018 5:15,18.4
2/02/2018 5:30,18.3
2/02/2018 5:45,18.2
2/02/2018 6:00,18.2
2/02/2018 6:15,18.1
2/02/2018 6:30,18
2/02/2018 6:45,18.1
2/02/2018 7:00,17.9
2/02/2018 7:15,17.9
2/02/2018 7:30,18
2/02/2018 7:45,18
2/02/2018 8:00,18.2
2/02/2018 8:15,20.5
2/02/2018 8:30,21.2
2/02/2018 8:45,21.1
2/02/2018 9:00,21.1
2/02/2018 9:15,21.2
2/02/2018 9:30,21.2
2/02/2018 9:45,21.4
2/02/2018 10:00,21.6
2/02/2018 10:15,21.4
2/02/2018 10:30,21.4
2/02/2018 10:45,21.1
2/02/2018 11:00,21.1
2/02/2018 11:15,21.1
2/02/2018 11:30,21.2
2/02/2018 11:45,21.2
2/02/2018 12:00,21.1
2/02/2018 12:15,20.9
2/02/2018 12:30,21.1
2/02/2018 12:45,21.2
2/02/2018 13:00,21
2/02/2018 13:15,21
2/02/2018 13:30,21
2/02/2018 13:45,21.1
2/02/2018 14:00,21.1
2/02/2018 14:15,21.1
2/02/2018 14:30,21.1
2/02/2018 14:45,21
2/02/2018 15:00,21
2/02/2018 15:15,21.1
2/02/2018 15:30,21
2/02/2018 15:45,21
2/02/2018 16:00,21.1
2/02/2018 16:15,21.1
2/02/2018 16:30,21.1
2/02/2018 16:45,20.9
2/02/2018 17:00,21
2/02/2018 17:15,21.1
2/02/2018 17:30,21.2
2/02/2018 17:45,21
2/02/2018 18:00,21
2/02/2018 18:15,21
2/02/2018 18:30,21
2/02/2018 18:45,21
2/02/2018 19:00,21
2/02/2018 19:15,21
2/02/2018 19:30,21
2/02/2018 19:45,21
2/02/2018 20:00,20.9
2/02/2018 20:15,21
2/02/2018 20:30,20.9
2/02/2018 20:45,20.9
2/02/2018 21:00,21
2/02/2018 21:15,21.5
2/02/2018 21:30,22
2/02/2018 21:45,21.6
2/02/2018 22:00,21.5
2/02/2018 22:15,21.2
2/02/2018 22:30,21.2
2/02/2018 22:45,21
2/02/2018 23:00,21.1
2/02/2018 23:15,21
2/02/2018 23:30,21.1
2/02/2018 23:45,21.2
3/02/2018 0:00,21.2
3/02/2018 0:15,21.2
3/02/2018 0:30,21.2
3/02/2018 0:45,21.2
3/02/2018 1:00,21.1
3/02/2018 1:15,21
3/02/2018 1:30,21
3/02/2018 1:45,21
3/02/2018 2:00,20.9
3/02/2018 2:15,20.8
3/02/2018 2:30,20.8
3/02/2018 2:45,20.7
3/02/2018 3:00,20.6
3/02/2018 3:15,20.5
3/02/2018 3:30,20.4
3/02/2018 3:45,20.4
3/02/2018 4:00,20.3
3/02/2018 4:15,20.2
3/02/2018 4:30,20
3/02/2018 4:45,19.9
3/02/2018 5:00,19.8
3/02/2018 5:15,19.8
3/02/2018 5:30,19.7
3/02/2018 5:45,19.6
3/02/2018 6:00,19.6
3/02/2018 6:15,19.5
