Timestamp,Bld_64_DDC_1.1_Rm_Temp(°C)
10/08/2017 15:30,21
10/08/2017 15:45,20.9
10/08/2017 16:00,20.9
10/08/2017 16:15,21.1
10/08/2017 16:30,20.9
10/08/2017 16:45,21
10/08/2017 17:00,21
10/08/2017 17:15,21
10/08/2017 17:30,20.9
10/08/2017 17:45,20.9
10/08/2017 18:00,21.1
10/08/2017 18:15,21.2
10/08/2017 18:30,20.9
10/08/2017 18:45,20.9
10/08/2017 19:00,21.1
10/08/2017 19:15,21.2
10/08/2017 19:30,21
10/08/2017 19:45,21.2
10/08/2017 20:00,20.4
10/08/2017 20:15,21.2
10/08/2017 20:30,20.9
10/08/2017 20:45,20.8
10/08/2017 21:00,21
10/08/2017 21:15,21
10/08/2017 21:30,20.8
10/08/2017 21:45,21.2
10/08/2017 22:00,21.1
10/08/2017 22:15,20.9
10/08/2017 22:30,21.2
10/08/2017 22:45,20.8
10/08/2017 23:00,21.2
10/08/2017 23:15,21.1
10/08/2017 23:30,20.9
10/08/2017 23:45,19.8
11/08/2017 0:00,18.6
11/08/2017 0:15,17.9
11/08/2017 0:30,17.4
11/08/2017 0:45,17
11/08/2017 1:00,16.8
11/08/2017 1:15,16.6
11/08/2017 1:30,16.4
11/08/2017 1:45,16.3
11/08/2017 2:00,16
11/08/2017 2:15,15.8
11/08/2017 2:30,15.6
11/08/2017 2:45,15.6
11/08/2017 3:00,15.4
11/08/2017 3:15,15.3
11/08/2017 3:30,15.1
11/08/2017 3:45,15.1
11/08/2017 4:00,14.9
11/08/2017 4:15,14.8
11/08/2017 4:30,14.8
11/08/2017 4:45,14.6
11/08/2017 5:00,14.5
11/08/2017 5:15,14.4
11/08/2017 5:30,14.3
11/08/2017 5:45,14.2
11/08/2017 6:00,14.1
11/08/2017 6:15,14.1
11/08/2017 6:30,14.1
11/08/2017 6:45,14.1
11/08/2017 7:00,14.1
11/08/2017 7:15,14
11/08/2017 7:30,14
11/08/2017 7:45,14
11/08/2017 8:00,14
11/08/2017 8:15,17
11/08/2017 8:30,19.7
11/08/2017 8:45,20.5
11/08/2017 9:00,20.7
11/08/2017 9:15,20.9
11/08/2017 9:30,20.1
11/08/2017 9:45,20.8
11/08/2017 10:00,21.1
11/08/2017 10:15,20.8
11/08/2017 10:30,20.5
11/08/2017 10:45,21
11/08/2017 11:00,21
11/08/2017 11:15,20.9
11/08/2017 11:30,21
11/08/2017 11:45,21.2
11/08/2017 12:00,21.2
11/08/2017 12:15,21.1
11/08/2017 12:30,21
11/08/2017 12:45,20.8
11/08/2017 13:00,20.7
11/08/2017 13:15,21.1
11/08/2017 13:30,21
11/08/2017 13:45,21.1
11/08/2017 14:00,20.6
11/08/2017 14:15,20.9
11/08/2017 14:30,21.2
11/08/2017 14:45,21.2
11/08/2017 15:00,21.1
11/08/2017 15:15,21.2
11/08/2017 15:30,21
11/08/2017 15:45,20.8
11/08/2017 16:00,21
11/08/2017 16:15,21.1
11/08/2017 16:30,20.9
11/08/2017 16:45,21
11/08/2017 17:00,21.3
11/08/2017 17:15,20.7
11/08/2017 17:30,20.9
11/08/2017 17:45,21.1
11/08/2017 18:00,21
11/08/2017 18:15,20.9
11/08/2017 18:30,21.2
11/08/2017 18:45,21.2
11/08/2017 19:00,20.8
11/08/2017 19:15,20.8
11/08/2017 19:30,20.8
11/08/2017 19:45,20.8
11/08/2017 20:00,20.9
11/08/2017 20:15,21.1
11/08/2017 20:30,21
11/08/2017 20:45,21.1
11/08/2017 21:00,21.1
11/08/2017 21:15,20.8
11/08/2017 21:30,20.8
11/08/2017 21:45,21
11/08/2017 22:00,20.9
11/08/2017 22:15,21.2
11/08/2017 22:30,21.1
11/08/2017 22:45,20.9
11/08/2017 23:00,20.8
11/08/2017 23:15,20.9
11/08/2017 23:30,20.9
11/08/2017 23:45,18.9
12/08/2017 0:00,17.4
12/08/2017 0:15,16.6
12/08/2017 0:30,16
12/08/2017 0:45,15.6
12/08/2017 1:00,15.4
12/08/2017 1:15,15.2
12/08/2017 1:30,15.1
12/08/2017 1:45,15
12/08/2017 2:00,14.9
12/08/2017 2:15,14.8
12/08/2017 2:30,14.8
12/08/2017 2:45,14.7
12/08/2017 3:00,14.5
12/08/2017 3:15,14.3
12/08/2017 3:30,14.3
12/08/2017 3:45,14.2
12/08/2017 4:00,14.1
12/08/2017 4:15,14
12/08/2017 4:30,14
12/08/2017 4:45,13.9
12/08/2017 5:00,13.9
12/08/2017 5:15,13.8
12/08/2017 5:30,13.7
12/08/2017 5:45,13.6
12/08/2017 6:00,13.6
12/08/2017 6:15,13.5
12/08/2017 6:30,13.6
12/08/2017 6:45,13.5
12/08/2017 7:00,13.4
12/08/2017 7:15,13.3
12/08/2017 7:30,13.3
12/08/2017 7:45,13.2
12/08/2017 8:00,13.2
12/08/2017 8:15,17.3
12/08/2017 8:30,19.3
12/08/2017 8:45,20.2
12/08/2017 9:00,20.6
12/08/2017 9:15,20.9
12/08/2017 9:30,21
12/08/2017 9:45,21
12/08/2017 10:00,21.2
12/08/2017 10:15,20.8
12/08/2017 10:30,21
12/08/2017 10:45,21.2
12/08/2017 11:00,20.9
12/08/2017 11:15,21.1
12/08/2017 11:30,21.1
12/08/2017 11:45,21
12/08/2017 12:00,21.1
12/08/2017 12:15,20.9
12/08/2017 12:30,21.1
12/08/2017 12:45,21
12/08/2017 13:00,21
12/08/2017 13:15,21.1
12/08/2017 13:30,20.9
12/08/2017 13:45,21
12/08/2017 14:00,21.2
12/08/2017 14:15,20.9
12/08/2017 14:30,21.2
12/08/2017 14:45,21.1
12/08/2017 15:00,20.8
12/08/2017 15:15,21.1
12/08/2017 15:30,21.1
12/08/2017 15:45,21.1
12/08/2017 16:00,21.1
12/08/2017 16:15,21
12/08/2017 16:30,21.2
12/08/2017 16:45,21.2
12/08/2017 17:00,21.1
12/08/2017 17:15,20.8
12/08/2017 17:30,21.1
12/08/2017 17:45,19.7
12/08/2017 18:00,18.5
12/08/2017 18:15,17.7
12/08/2017 18:30,17.2
12/08/2017 18:45,16.8
12/08/2017 19:00,16.4
12/08/2017 19:15,16.1
12/08/2017 19:30,15.8
12/08/2017 19:45,15.6
12/08/2017 20:00,15.5
12/08/2017 20:15,15.3
12/08/2017 20:30,15.2
12/08/2017 20:45,15.2
12/08/2017 21:00,15.1
12/08/2017 21:15,15
12/08/2017 21:30,14.9
12/08/2017 21:45,14.9
12/08/2017 22:00,14.8
12/08/2017 22:15,14.8
12/08/2017 22:30,14.8
12/08/2017 22:45,14.7
12/08/2017 23:00,14.5
12/08/2017 23:15,14.5
12/08/2017 23:30,14.3
12/08/2017 23:45,14.3
13/08/2017 0:00,14.2
13/08/2017 0:15,14.2
13/08/2017 0:30,14.1
13/08/2017 0:45,14.1
13/08/2017 1:00,14.1
13/08/2017 1:15,14.1
13/08/2017 1:30,14.1
13/08/2017 1:45,14.1
13/08/2017 2:00,14.1
13/08/2017 2:15,14.1
13/08/2017 2:30,14.1
13/08/2017 2:45,14.1
13/08/2017 3:00,14.1
13/08/2017 3:15,14.1
13/08/2017 3:30,14.1
13/08/2017 3:45,14
13/08/2017 4:00,14
13/08/2017 4:15,13.9
13/08/2017 4:30,13.7
13/08/2017 4:45,13.6
13/08/2017 5:00,13.5
13/08/2017 5:15,13.4
13/08/2017 5:30,13.3
13/08/2017 5:45,13.3
13/08/2017 6:00,13.2
13/08/2017 6:15,13.2
13/08/2017 6:30,13.1
13/08/2017 6:45,13.1
13/08/2017 7:00,13.1
13/08/2017 7:15,13.1
13/08/2017 7:30,13
13/08/2017 7:45,12.9
13/08/2017 8:00,13
13/08/2017 8:15,13
13/08/2017 8:30,13.1
13/08/2017 8:45,13.2
13/08/2017 9:00,13.3
13/08/2017 9:15,13.3
13/08/2017 9:30,13.5
13/08/2017 9:45,13.5
13/08/2017 10:00,13.7
13/08/2017 10:15,13.7
13/08/2017 10:30,13.8
13/08/2017 10:45,13.9
13/08/2017 11:00,14.1
13/08/2017 11:15,14.2
13/08/2017 11:30,19.7
13/08/2017 11:45,20.4
13/08/2017 12:00,20.7
13/08/2017 12:15,20.7
13/08/2017 12:30,18.3
13/08/2017 12:45,17
13/08/2017 13:00,20.5
13/08/2017 13:15,20.6
13/08/2017 13:30,21.1
13/08/2017 13:45,21.1
13/08/2017 14:00,21.4
13/08/2017 14:15,20.8
13/08/2017 14:30,20.9
13/08/2017 14:45,20.8
13/08/2017 15:00,20.1
13/08/2017 15:15,18.7
13/08/2017 15:30,20.3
13/08/2017 15:45,20.8
13/08/2017 16:00,21.2
13/08/2017 16:15,21.1
13/08/2017 16:30,20.7
13/08/2017 16:45,19.1
13/08/2017 17:00,18.3
13/08/2017 17:15,17.7
13/08/2017 17:30,17.3
13/08/2017 17:45,17
13/08/2017 18:00,16.8
13/08/2017 18:15,16.6
13/08/2017 18:30,16.4
13/08/2017 18:45,16.3
13/08/2017 19:00,16.2
13/08/2017 19:15,16
13/08/2017 19:30,15.9
13/08/2017 19:45,15.8
13/08/2017 20:00,15.7
13/08/2017 20:15,15.6
13/08/2017 20:30,15.6
13/08/2017 20:45,15.6
13/08/2017 21:00,15.6
13/08/2017 21:15,15.5
13/08/2017 21:30,15.5
13/08/2017 21:45,15.6
13/08/2017 22:00,15.5
13/08/2017 22:15,15.5
13/08/2017 22:30,15.5
13/08/2017 22:45,15.5
13/08/2017 23:00,15.5
13/08/2017 23:15,15.5
13/08/2017 23:30,15.5
13/08/2017 23:45,15.5
14/08/2017 0:00,15.5
14/08/2017 0:15,15.6
14/08/2017 0:30,15.6
14/08/2017 0:45,15.6
14/08/2017 1:00,15.6
14/08/2017 1:15,15.5
14/08/2017 1:30,15.5
14/08/2017 1:45,15.4
14/08/2017 2:00,15.4
14/08/2017 2:15,15.4
14/08/2017 2:30,15.4
14/08/2017 2:45,15.3
14/08/2017 3:00,15.3
14/08/2017 3:15,15.2
14/08/2017 3:30,15.2
14/08/2017 3:45,15.2
14/08/2017 4:00,15.2
14/08/2017 4:15,15.1
14/08/2017 4:30,15.1
14/08/2017 4:45,15.1
14/08/2017 5:00,15
14/08/2017 5:15,15
14/08/2017 5:30,14.9
14/08/2017 5:45,14.9
14/08/2017 6:00,14.8
14/08/2017 6:15,14.8
14/08/2017 6:30,14.8
14/08/2017 6:45,14.8
14/08/2017 7:00,14.9
14/08/2017 7:15,14.9
14/08/2017 7:30,14.9
14/08/2017 7:45,14.9
14/08/2017 8:00,14.8
14/08/2017 8:15,16.7
14/08/2017 8:30,19.6
14/08/2017 8:45,20.4
14/08/2017 9:00,20.7
14/08/2017 9:15,21
14/08/2017 9:30,20.9
14/08/2017 9:45,21
14/08/2017 10:00,20.6
14/08/2017 10:15,20.9
