Timestamp,Bld_64_DDC_1.1_R.Air_Co2(ppm)
20/09/2017 15:30,576.2
20/09/2017 15:45,525.4
20/09/2017 16:00,494.1
20/09/2017 16:15,546.9
20/09/2017 16:30,582
20/09/2017 16:45,605.5
20/09/2017 17:00,611.3
20/09/2017 17:15,609.4
20/09/2017 17:30,601.6
20/09/2017 17:45,593.8
20/09/2017 18:00,591.8
20/09/2017 18:15,531.3
20/09/2017 18:30,490.2
20/09/2017 18:45,462.9
20/09/2017 19:00,447.3
20/09/2017 19:15,435.5
20/09/2017 19:30,433.6
20/09/2017 19:45,423.8
20/09/2017 20:00,423.8
20/09/2017 20:15,423.8
20/09/2017 20:30,423.8
20/09/2017 20:45,418
20/09/2017 21:00,418
20/09/2017 21:15,416
20/09/2017 21:30,414.1
20/09/2017 21:45,414.1
20/09/2017 22:00,412.1
20/09/2017 22:15,412.1
20/09/2017 22:30,410.2
20/09/2017 22:45,416
20/09/2017 23:00,419.9
20/09/2017 23:15,419.9
20/09/2017 23:30,423.8
20/09/2017 23:45,423.8
21/09/2017 0:00,418
21/09/2017 0:15,416
21/09/2017 0:30,410.2
21/09/2017 0:45,414.1
21/09/2017 1:00,412.1
21/09/2017 1:15,414.1
21/09/2017 1:30,416
21/09/2017 1:45,416
21/09/2017 2:00,418
21/09/2017 2:15,412.1
21/09/2017 2:30,412.1
21/09/2017 2:45,412.1
21/09/2017 3:00,412.1
21/09/2017 3:15,412.1
21/09/2017 3:30,414.1
21/09/2017 3:45,410.2
21/09/2017 4:00,410.2
21/09/2017 4:15,410.2
21/09/2017 4:30,412.1
21/09/2017 4:45,412.1
21/09/2017 5:00,410.2
21/09/2017 5:15,410.2
21/09/2017 5:30,414.1
21/09/2017 5:45,412.1
21/09/2017 6:00,414.1
21/09/2017 6:15,414.1
21/09/2017 6:30,416
21/09/2017 6:45,416
21/09/2017 7:00,414.1
21/09/2017 7:15,416
21/09/2017 7:30,418
21/09/2017 7:45,416
21/09/2017 8:00,418
21/09/2017 8:15,531.3
21/09/2017 8:30,550.8
21/09/2017 8:45,582
21/09/2017 9:00,595.7
21/09/2017 9:15,650.4
21/09/2017 9:30,648.4
21/09/2017 9:45,648.4
21/09/2017 10:00,625
21/09/2017 10:15,648.4
21/09/2017 10:30,646.5
21/09/2017 10:45,650.4
21/09/2017 11:00,634.8
21/09/2017 11:15,587.9
21/09/2017 11:30,582
21/09/2017 11:45,584
21/09/2017 12:00,576.2
21/09/2017 12:15,576.2
21/09/2017 12:30,568.4
21/09/2017 12:45,558.6
21/09/2017 13:00,546.9
21/09/2017 13:15,558.6
21/09/2017 13:30,568.4
21/09/2017 13:45,570.3
21/09/2017 14:00,556.6
21/09/2017 14:15,496.1
21/09/2017 14:30,462.9
21/09/2017 14:45,437.5
21/09/2017 15:00,425.8
21/09/2017 15:15,416
21/09/2017 15:30,418
21/09/2017 15:45,418
21/09/2017 16:00,421.9
21/09/2017 16:15,470.7
21/09/2017 16:30,507.8
21/09/2017 16:45,527.3
21/09/2017 17:00,541
21/09/2017 17:15,554.7
21/09/2017 17:30,562.5
21/09/2017 17:45,564.5
21/09/2017 18:00,544.9
21/09/2017 18:15,773.4
21/09/2017 18:30,853.5
21/09/2017 18:45,763.7
21/09/2017 19:00,793
21/09/2017 19:15,779.3
21/09/2017 19:30,775.4
21/09/2017 19:45,773.4
21/09/2017 20:00,552.7
21/09/2017 20:15,517.6
21/09/2017 20:30,494.1
21/09/2017 20:45,492.2
21/09/2017 21:00,476.6
21/09/2017 21:15,488.3
21/09/2017 21:30,472.7
21/09/2017 21:45,488.3
21/09/2017 22:00,468.8
21/09/2017 22:15,464.8
21/09/2017 22:30,460.9
21/09/2017 22:45,464.8
21/09/2017 23:00,468.8
21/09/2017 23:15,455.1
21/09/2017 23:30,460.9
21/09/2017 23:45,439.5
22/09/2017 0:00,431.6
22/09/2017 0:15,429.7
22/09/2017 0:30,427.7
22/09/2017 0:45,423.8
22/09/2017 1:00,427.7
