Timestamp,Bld_64_DDC_1.1_R.Air_Co2(ppm)
10-Aug-17 3:30:00 pm,623.0
10-Aug-17 3:45:00 pm,627.0
10-Aug-17 4:00:00 pm,576.2
10-Aug-17 4:15:00 pm,625.0
10-Aug-17 4:30:00 pm,632.8
10-Aug-17 4:45:00 pm,630.9
10-Aug-17 5:00:00 pm,621.1
10-Aug-17 5:15:00 pm,617.2
10-Aug-17 5:30:00 pm,615.2
10-Aug-17 5:45:00 pm,527.3
10-Aug-17 6:00:00 pm,488.3
10-Aug-17 6:15:00 pm,462.9
10-Aug-17 6:30:00 pm,453.1
10-Aug-17 6:45:00 pm,443.4
10-Aug-17 7:00:00 pm,437.5
10-Aug-17 7:15:00 pm,701.2
10-Aug-17 7:30:00 pm,699.2
10-Aug-17 7:45:00 pm,697.3
10-Aug-17 8:00:01 pm,605.5
10-Aug-17 8:15:00 pm,492.2
10-Aug-17 8:30:00 pm,466.8
10-Aug-17 8:45:00 pm,451.2
10-Aug-17 9:00:00 pm,439.5
10-Aug-17 9:15:00 pm,431.6
10-Aug-17 9:30:00 pm,425.8
10-Aug-17 9:45:00 pm,423.8
10-Aug-17 10:00:00 pm,425.8
10-Aug-17 10:15:00 pm,423.8
10-Aug-17 10:30:00 pm,423.8
10-Aug-17 10:45:00 pm,419.9
10-Aug-17 11:00:00 pm,421.9
10-Aug-17 11:15:00 pm,419.9
10-Aug-17 11:30:00 pm,419.9
10-Aug-17 11:45:00 pm,423.8
11-Aug-17 12:00:00 am,425.8
11-Aug-17 12:15:00 am,423.8
11-Aug-17 12:30:00 am,421.9
11-Aug-17 12:45:00 am,421.9
11-Aug-17 1:00:00 am,419.9
11-Aug-17 1:15:00 am,419.9
11-Aug-17 1:30:00 am,421.9
11-Aug-17 1:45:00 am,419.9
11-Aug-17 2:00:00 am,423.8
11-Aug-17 2:15:00 am,419.9
11-Aug-17 2:30:00 am,421.9
11-Aug-17 2:45:00 am,421.9
11-Aug-17 3:00:00 am,419.9
11-Aug-17 3:15:00 am,423.8
11-Aug-17 3:30:00 am,423.8
11-Aug-17 3:45:00 am,425.8
11-Aug-17 4:00:00 am,423.8
11-Aug-17 4:15:00 am,425.8
11-Aug-17 4:30:00 am,425.8
11-Aug-17 4:45:00 am,423.8
11-Aug-17 5:00:00 am,425.8
11-Aug-17 5:15:00 am,423.8
11-Aug-17 5:30:00 am,427.7
11-Aug-17 5:45:00 am,427.7
11-Aug-17 6:00:00 am,429.7
11-Aug-17 6:15:00 am,427.7
11-Aug-17 6:30:00 am,427.7
11-Aug-17 6:45:00 am,431.6
11-Aug-17 7:00:00 am,435.5
11-Aug-17 7:15:00 am,439.5
11-Aug-17 7:30:00 am,447.3
11-Aug-17 7:45:00 am,447.3
11-Aug-17 8:00:00 am,449.2
11-Aug-17 8:15:00 am,544.9
11-Aug-17 8:30:00 am,564.5
11-Aug-17 8:45:00 am,585.9
11-Aug-17 9:00:00 am,601.6
11-Aug-17 9:15:00 am,595.7
11-Aug-17 9:30:00 am,609.4
11-Aug-17 9:45:00 am,595.7
11-Aug-17 10:00:00 am,572.3
11-Aug-17 10:15:00 am,591.8
11-Aug-17 10:30:00 am,623.0
11-Aug-17 10:45:00 am,644.5
11-Aug-17 11:00:00 am,628.9
11-Aug-17 11:15:00 am,630.9
11-Aug-17 11:30:00 am,632.8
11-Aug-17 11:45:00 am,627.0
11-Aug-17 12:00:00 pm,605.5
11-Aug-17 12:15:00 pm,627.0
11-Aug-17 12:30:00 pm,652.3
11-Aug-17 12:45:00 pm,652.3
11-Aug-17 1:00:00 pm,638.7
11-Aug-17 1:15:00 pm,640.6
11-Aug-17 1:30:00 pm,638.7
11-Aug-17 1:45:00 pm,630.9
11-Aug-17 2:00:00 pm,623.0
11-Aug-17 2:15:00 pm,720.7
11-Aug-17 2:30:00 pm,675.8
11-Aug-17 2:45:00 pm,683.6
11-Aug-17 3:00:00 pm,675.8
11-Aug-17 3:15:00 pm,650.4
11-Aug-17 3:30:00 pm,630.9
11-Aug-17 3:45:00 pm,623.0
11-Aug-17 4:00:00 pm,628.9
11-Aug-17 4:15:00 pm,625.0
11-Aug-17 4:30:00 pm,630.9
11-Aug-17 4:45:00 pm,640.6
11-Aug-17 5:00:00 pm,636.7
11-Aug-17 5:15:00 pm,597.7
11-Aug-17 5:30:00 pm,543.0
11-Aug-17 5:45:00 pm,509.8
11-Aug-17 6:00:00 pm,484.4
11-Aug-17 6:15:00 pm,466.8
11-Aug-17 6:30:00 pm,453.1
11-Aug-17 6:45:00 pm,441.4
11-Aug-17 7:00:00 pm,437.5
11-Aug-17 7:15:00 pm,431.6
11-Aug-17 7:30:00 pm,433.6
11-Aug-17 7:45:00 pm,427.7
11-Aug-17 8:00:00 pm,429.7
11-Aug-17 8:15:00 pm,425.8
11-Aug-17 8:30:00 pm,423.8
11-Aug-17 8:45:00 pm,425.8
11-Aug-17 9:00:00 pm,423.8
11-Aug-17 9:15:00 pm,425.8
11-Aug-17 9:30:00 pm,423.8
11-Aug-17 9:45:00 pm,425.8
11-Aug-17 10:00:00 pm,427.7
11-Aug-17 10:15:00 pm,427.7
11-Aug-17 10:30:00 pm,425.8
11-Aug-17 10:45:00 pm,421.9
11-Aug-17 11:00:00 pm,423.8
11-Aug-17 11:15:00 pm,425.8
11-Aug-17 11:30:00 pm,423.8
11-Aug-17 11:45:00 pm,425.8
12-Aug-17 12:00:00 am,423.8
12-Aug-17 12:15:00 am,421.9
12-Aug-17 12:30:00 am,425.8
12-Aug-17 12:45:00 am,423.8
12-Aug-17 1:00:00 am,419.9
12-Aug-17 1:15:00 am,423.8
12-Aug-17 1:30:00 am,427.7
12-Aug-17 1:45:00 am,427.7
12-Aug-17 2:00:01 am,427.7
12-Aug-17 2:15:00 am,429.7
12-Aug-17 2:30:00 am,427.7
12-Aug-17 2:45:00 am,427.7
12-Aug-17 3:00:00 am,427.7
12-Aug-17 3:15:00 am,427.7
12-Aug-17 3:30:00 am,429.7
12-Aug-17 3:45:00 am,431.6
