Timestamp,Bld_64_DDC_1.1_R.Air_Co2(ppm)
15-Oct-17 4:30:00 pm,419.9
15-Oct-17 4:45:00 pm,418.0
15-Oct-17 5:00:01 pm,418.0
15-Oct-17 5:15:00 pm,418.0
15-Oct-17 5:30:00 pm,416.0
15-Oct-17 5:45:00 pm,419.9
15-Oct-17 6:00:00 pm,416.0
15-Oct-17 6:15:00 pm,419.9
15-Oct-17 6:30:00 pm,418.0
15-Oct-17 6:45:00 pm,418.0
15-Oct-17 7:00:00 pm,419.9
15-Oct-17 7:15:00 pm,423.8
15-Oct-17 7:30:00 pm,419.9
15-Oct-17 7:45:00 pm,418.0
15-Oct-17 8:00:00 pm,419.9
15-Oct-17 8:15:00 pm,423.8
15-Oct-17 8:30:00 pm,423.8
15-Oct-17 8:45:00 pm,421.9
15-Oct-17 9:00:00 pm,421.9
15-Oct-17 9:15:00 pm,421.9
15-Oct-17 9:30:00 pm,423.8
15-Oct-17 9:45:00 pm,425.8
15-Oct-17 10:00:00 pm,423.8
15-Oct-17 10:15:00 pm,425.8
15-Oct-17 10:30:00 pm,427.7
15-Oct-17 10:45:00 pm,425.8
15-Oct-17 11:00:00 pm,429.7
15-Oct-17 11:15:00 pm,429.7
15-Oct-17 11:30:00 pm,429.7
15-Oct-17 11:45:00 pm,425.8
16-Oct-17 12:00:00 am,427.7
16-Oct-17 12:15:00 am,431.6
16-Oct-17 12:30:00 am,431.6
16-Oct-17 12:45:00 am,431.6
16-Oct-17 1:00:00 am,431.6
16-Oct-17 1:15:00 am,431.6
16-Oct-17 1:30:00 am,429.7
16-Oct-17 1:45:00 am,427.7
16-Oct-17 2:00:01 am,429.7
16-Oct-17 2:15:00 am,427.7
16-Oct-17 2:30:00 am,431.6
16-Oct-17 2:45:00 am,427.7
16-Oct-17 3:00:00 am,431.6
16-Oct-17 3:15:00 am,429.7
16-Oct-17 3:30:00 am,429.7
16-Oct-17 3:45:00 am,435.5
16-Oct-17 4:00:00 am,431.6
16-Oct-17 4:15:00 am,431.6
16-Oct-17 4:30:00 am,429.7
16-Oct-17 4:45:00 am,429.7
16-Oct-17 5:00:00 am,433.6
16-Oct-17 5:15:00 am,429.7
16-Oct-17 5:30:00 am,433.6
16-Oct-17 5:45:00 am,433.6
16-Oct-17 6:00:00 am,431.6
16-Oct-17 6:15:00 am,431.6
16-Oct-17 6:30:00 am,427.7
16-Oct-17 6:45:00 am,431.6
16-Oct-17 7:00:00 am,433.6
16-Oct-17 7:15:00 am,429.7
16-Oct-17 7:30:00 am,431.6
16-Oct-17 7:45:00 am,435.5
16-Oct-17 8:00:00 am,435.5
16-Oct-17 8:15:00 am,462.9
16-Oct-17 8:30:00 am,460.9
16-Oct-17 8:45:00 am,474.6
16-Oct-17 9:00:00 am,478.5
16-Oct-17 9:15:00 am,472.7
16-Oct-17 9:30:00 am,472.7
16-Oct-17 9:45:00 am,474.6
16-Oct-17 10:00:00 am,494.1
16-Oct-17 10:15:00 am,615.2
16-Oct-17 10:30:00 am,707.0
16-Oct-17 10:45:00 am,705.1
16-Oct-17 11:00:00 am,642.6
16-Oct-17 11:15:00 am,656.3
16-Oct-17 11:30:00 am,642.6
16-Oct-17 11:45:00 am,640.6
16-Oct-17 12:00:00 pm,634.8
16-Oct-17 12:15:00 pm,699.2
16-Oct-17 12:30:00 pm,689.5
16-Oct-17 12:45:00 pm,691.4
16-Oct-17 1:00:00 pm,613.3
16-Oct-17 1:15:00 pm,714.8
16-Oct-17 1:30:00 pm,703.1
16-Oct-17 1:45:00 pm,705.1
16-Oct-17 2:00:00 pm,697.3
16-Oct-17 2:15:00 pm,677.7
16-Oct-17 2:30:00 pm,669.9
16-Oct-17 2:45:00 pm,675.8
16-Oct-17 3:00:00 pm,677.7
16-Oct-17 3:15:00 pm,675.8
16-Oct-17 3:30:00 pm,683.6
16-Oct-17 3:45:00 pm,668.0
16-Oct-17 4:00:00 pm,621.1
16-Oct-17 4:15:00 pm,677.7
16-Oct-17 4:30:00 pm,669.9
16-Oct-17 4:45:00 pm,681.6
16-Oct-17 5:00:00 pm,671.9
16-Oct-17 5:15:00 pm,572.3
16-Oct-17 5:30:00 pm,531.3
16-Oct-17 5:45:00 pm,505.9
16-Oct-17 6:00:00 pm,486.3
16-Oct-17 6:15:00 pm,466.8
16-Oct-17 6:30:00 pm,453.1
16-Oct-17 6:45:00 pm,445.3
16-Oct-17 7:00:00 pm,439.5
16-Oct-17 7:15:00 pm,437.5
16-Oct-17 7:30:00 pm,435.5
16-Oct-17 7:45:00 pm,435.5
16-Oct-17 8:00:00 pm,435.5
16-Oct-17 8:15:00 pm,433.6
16-Oct-17 8:30:00 pm,433.6
16-Oct-17 8:45:00 pm,441.4
16-Oct-17 9:00:00 pm,447.3
16-Oct-17 9:15:00 pm,443.4
16-Oct-17 9:30:00 pm,447.3
16-Oct-17 9:45:00 pm,445.3
16-Oct-17 10:00:00 pm,447.3
16-Oct-17 10:15:00 pm,447.3
16-Oct-17 10:30:00 pm,445.3
16-Oct-17 10:45:00 pm,447.3
16-Oct-17 11:00:00 pm,447.3
16-Oct-17 11:15:00 pm,447.3
16-Oct-17 11:30:00 pm,451.2
16-Oct-17 11:45:00 pm,449.2
17-Oct-17 12:00:00 am,451.2
17-Oct-17 12:15:00 am,451.2
17-Oct-17 12:30:00 am,451.2
17-Oct-17 12:45:00 am,453.1
17-Oct-17 1:00:00 am,455.1
17-Oct-17 1:15:00 am,455.1
17-Oct-17 1:30:00 am,455.1
17-Oct-17 1:45:00 am,455.1
17-Oct-17 2:00:00 am,460.9
17-Oct-17 2:15:00 am,457.0
17-Oct-17 2:30:00 am,460.9
17-Oct-17 2:45:00 am,457.0
17-Oct-17 3:00:00 am,457.0
17-Oct-17 3:15:00 am,459.0
17-Oct-17 3:30:00 am,460.9
17-Oct-17 3:45:00 am,460.9
17-Oct-17 4:00:00 am,460.9
17-Oct-17 4:15:00 am,459.0
17-Oct-17 4:30:00 am,455.1
17-Oct-17 4:45:00 am,451.2
17-Oct-17 5:00:00 am,451.2
17-Oct-17 5:15:00 am,451.2
17-Oct-17 5:30:00 am,451.2
17-Oct-17 5:45:00 am,445.3
17-Oct-17 6:00:00 am,445.3
17-Oct-17 6:15:00 am,445.3
17-Oct-17 6:30:00 am,443.4
17-Oct-17 6:45:00 am,443.4
17-Oct-17 7:00:00 am,445.3
17-Oct-17 7:15:00 am,449.2
17-Oct-17 7:30:00 am,457.0
17-Oct-17 7:45:00 am,449.2
17-Oct-17 8:00:00 am,441.4
17-Oct-17 8:15:00 am,652.3
17-Oct-17 8:30:00 am,691.4
17-Oct-17 8:45:00 am,699.2
17-Oct-17 9:00:00 am,703.1
17-Oct-17 9:15:00 am,697.3
17-Oct-17 9:30:00 am,709.0
17-Oct-17 9:45:00 am,695.3
17-Oct-17 10:00:00 am,673.8
17-Oct-17 10:15:00 am,679.7
17-Oct-17 10:30:00 am,679.7
17-Oct-17 10:45:01 am,572.3
17-Oct-17 11:00:00 am,523.4
17-Oct-17 11:15:00 am,482.4
17-Oct-17 11:30:00 am,464.8
17-Oct-17 11:45:00 am,453.1
17-Oct-17 12:00:00 pm,443.4
17-Oct-17 12:15:00 pm,437.5
17-Oct-17 12:30:00 pm,435.5
17-Oct-17 12:45:00 pm,437.5
17-Oct-17 1:00:00 pm,459.0
17-Oct-17 1:15:00 pm,654.3
17-Oct-17 1:30:00 pm,689.5
17-Oct-17 1:45:00 pm,609.4
17-Oct-17 2:00:00 pm,523.4
17-Oct-17 2:15:00 pm,492.2
17-Oct-17 2:30:00 pm,478.5
17-Oct-17 2:45:00 pm,453.1
17-Oct-17 3:00:00 pm,443.4
17-Oct-17 3:15:00 pm,435.5
17-Oct-17 3:30:00 pm,459.0
17-Oct-17 3:45:01 pm,585.9
17-Oct-17 4:00:00 pm,671.9
17-Oct-17 4:15:00 pm,671.9
17-Oct-17 4:30:00 pm,668.0
17-Oct-17 4:45:00 pm,658.2
17-Oct-17 5:00:00 pm,644.5
17-Oct-17 5:15:00 pm,589.8
17-Oct-17 5:30:00 pm,584.0
17-Oct-17 5:45:00 pm,591.8
17-Oct-17 6:00:00 pm,603.5
17-Oct-17 6:15:00 pm,607.4
17-Oct-17 6:30:00 pm,605.5
17-Oct-17 6:45:00 pm,603.5
17-Oct-17 7:00:00 pm,601.6
17-Oct-17 7:15:00 pm,595.7
17-Oct-17 7:30:00 pm,589.8
17-Oct-17 7:45:00 pm,578.1
17-Oct-17 8:00:00 pm,564.5
17-Oct-17 8:15:00 pm,552.7
17-Oct-17 8:30:00 pm,541.0
17-Oct-17 8:45:00 pm,531.3
17-Oct-17 9:00:00 pm,523.4
17-Oct-17 9:15:00 pm,511.7
17-Oct-17 9:30:00 pm,478.5
17-Oct-17 9:45:00 pm,478.5
17-Oct-17 10:00:00 pm,482.4
17-Oct-17 10:15:00 pm,482.4
17-Oct-17 10:30:00 pm,472.7
17-Oct-17 10:45:00 pm,472.7
17-Oct-17 11:00:00 pm,474.6
17-Oct-17 11:15:00 pm,472.7
17-Oct-17 11:30:00 pm,474.6
17-Oct-17 11:45:00 pm,472.7
18-Oct-17 12:00:00 am,474.6
18-Oct-17 12:15:00 am,470.7
18-Oct-17 12:30:00 am,462.9
18-Oct-17 12:45:00 am,460.9
18-Oct-17 1:00:00 am,457.0
18-Oct-17 1:15:00 am,453.1
18-Oct-17 1:30:00 am,453.1
18-Oct-17 1:45:00 am,449.2
18-Oct-17 2:00:01 am,447.3
18-Oct-17 2:15:00 am,447.3
18-Oct-17 2:30:00 am,445.3
18-Oct-17 2:45:00 am,445.3
18-Oct-17 3:00:00 am,447.3
18-Oct-17 3:15:00 am,447.3
18-Oct-17 3:30:00 am,443.4
18-Oct-17 3:45:00 am,443.4
18-Oct-17 4:00:00 am,439.5
18-Oct-17 4:15:00 am,443.4
18-Oct-17 4:30:00 am,443.4
18-Oct-17 4:45:00 am,443.4
18-Oct-17 5:00:00 am,441.4
18-Oct-17 5:15:00 am,445.3
18-Oct-17 5:30:00 am,441.4
18-Oct-17 5:45:00 am,439.5
18-Oct-17 6:00:00 am,445.3
18-Oct-17 6:15:00 am,447.3
18-Oct-17 6:30:00 am,445.3
18-Oct-17 6:45:00 am,443.4
18-Oct-17 7:00:00 am,447.3
18-Oct-17 7:15:00 am,453.1
18-Oct-17 7:30:22 am,451.2
18-Oct-17 7:45:00 am,449.2
18-Oct-17 8:00:00 am,449.2
18-Oct-17 8:15:00 am,457.0
18-Oct-17 8:30:00 am,459.0
18-Oct-17 8:45:00 am,457.0
18-Oct-17 9:00:01 am,460.9
18-Oct-17 9:15:00 am,486.3
18-Oct-17 9:30:00 am,494.1
18-Oct-17 9:45:01 am,500.0
18-Oct-17 10:00:00 am,502.0
18-Oct-17 10:15:00 am,593.8
18-Oct-17 10:30:00 am,666.0
18-Oct-17 10:45:01 am,677.7
18-Oct-17 11:00:00 am,691.4
18-Oct-17 11:15:00 am,673.8
18-Oct-17 11:30:00 am,675.8
18-Oct-17 11:45:03 am,603.5
18-Oct-17 12:00:00 pm,543.0
18-Oct-17 12:15:00 pm,576.2
18-Oct-17 12:30:00 pm,603.5
18-Oct-17 12:45:00 pm,621.1
18-Oct-17 1:00:03 pm,591.8
18-Oct-17 1:15:00 pm,689.5
18-Oct-17 1:30:00 pm,689.5
18-Oct-17 1:45:00 pm,683.6
18-Oct-17 2:00:00 pm,679.7
18-Oct-17 2:15:00 pm,650.4
18-Oct-17 2:30:00 pm,660.2
18-Oct-17 2:45:00 pm,644.5
18-Oct-17 3:00:00 pm,652.3
18-Oct-17 3:15:00 pm,634.8
18-Oct-17 3:30:00 pm,621.1
18-Oct-17 3:45:00 pm,539.1
18-Oct-17 4:00:00 pm,507.8
18-Oct-17 4:15:00 pm,568.4
18-Oct-17 4:30:00 pm,605.5
18-Oct-17 4:45:00 pm,628.9
18-Oct-17 5:00:00 pm,628.9
18-Oct-17 5:15:00 pm,601.6
18-Oct-17 5:30:00 pm,595.7
18-Oct-17 5:45:00 pm,593.8
18-Oct-17 6:00:00 pm,576.2
18-Oct-17 6:15:00 pm,511.7
18-Oct-17 6:30:00 pm,498.0
